player,wc_titles,ucl_titles,libertadores_titles,clubwc_titles,avg_goals_per_game,career_goals,career_games,wc_raw_weighted_ga,wc_games,national_league_titles,national_league_detail,wc_ga_detail,pdf_score,source
Pele,3,0,2,2,0.90,757,840,34.0,14,6,Brasileirao,6G+3A grp; 2G+2A qrt; 1G+1A semi; 2G+2A final,78.0,PDF v5 oficial
Messi,1,4,0,3,0.87,910,1050,36.5,26,12,10 La Liga + 2 Ligue 1,5G+2A grp; 1G+1A oit; 3G+2A qrt; 1G+2A semi; 2G+1A final,59.3,PDF v5 oficial
Gerd Muller,1,3,0,1,0.85,656,775,18.0,12.33,4,Bundesliga,8G grp; 1G qrt; 2G semi; 1G final (74); 10G em 1970,51.3,PDF v5 oficial
Ronaldo Fenomeno,2,0,0,1,0.67,414,616,33.5,18.98,1,Brasileirao,8G+1A grp; 5G+1A oit; 2G qrt; 1G semi; 2G+1A final,50.8,PDF v5 oficial
Cristiano Ronaldo,0,5,0,1,0.77,973,1260,10.0,21.98,8,3 PL + 2 La Liga + 2 Serie A + 1 Saudi,8G+2A grp; 0 em mata-mata,33.7,PDF v5 oficial
Maradona,1,0,0,0,0.51,346,679,24.5,21.03,3,1 Argentino + 2 Serie A,4G grp; 1A oit; 2G+1A qrt; 2G+2A semi; 1A final,32.9,PDF v5 oficial
Neymar Jr,0,1,1,0,0.62,435,704,11.5,14.02,3,1 Brasileirao + 2 Ligue 1,4G+1A grp; 2G+1A oit; 1A qrt; 0 semi/final,26.6,PDF v5 oficial
